# 50 cfip updated at 2026-09-11 03:39
172.64.229.33:443#JP 🇯🇵
172.64.159.179:443#SG 🇸🇬
172.64.155.217:443#SG 🇸🇬
172.64.148.3:443#SG 🇸🇬
104.18.33.193:443#SG 🇸🇬
104.18.35.173:443#SG 🇸🇬
172.64.151.154:443#SG 🇸🇬
172.64.144.229:443#SG 🇸🇬
172.64.148.133:443#SG 🇸🇬
104.18.41.6:443#SG 🇸🇬
104.18.32.35:443#SG 🇸🇬
104.18.37.72:443#SG 🇸🇬
104.18.35.28:443#SG 🇸🇬
172.64.154.163:443#SG 🇸🇬
104.18.43.73:443#SG 🇸🇬
172.64.158.226:443#SG 🇸🇬
104.18.44.216:443#SG 🇸🇬
172.64.145.110:443#SG 🇸🇬
172.64.150.24:443#SG 🇸🇬
172.64.158.26:443#SG 🇸🇬
172.64.152.144:443#SG 🇸🇬
172.64.144.7:443#SG 🇸🇬
172.64.156.171:443#SG 🇸🇬
172.64.146.137:443#SG 🇸🇬
172.64.157.125:443#SG 🇸🇬
8.39.125.215:443#SG 🇸🇬
104.18.46.245:443#SG 🇸🇬
8.39.125.161:443#SG 🇸🇬
172.64.153.117:443#SG 🇸🇬
8.35.211.206:443#SG 🇸🇬
172.64.155.35:443#SG 🇸🇬
8.35.211.23:443#SG 🇸🇬
104.17.189.91:443#US 🇺🇸
104.18.230.48:443#US 🇺🇸
104.19.138.140:443#US 🇺🇸
104.18.222.97:443#US 🇺🇸
104.17.113.254:443#US 🇺🇸
104.18.107.25:443#US 🇺🇸
104.19.35.231:443#US 🇺🇸
104.18.238.65:443#US 🇺🇸
104.18.131.12:443#US 🇺🇸
104.18.169.233:443#US 🇺🇸
104.18.152.81:443#US 🇺🇸
104.18.66.246:443#US 🇺🇸
104.19.179.249:443#US 🇺🇸
172.66.41.225:443#US 🇺🇸
104.17.242.245:443#US 🇺🇸
104.18.75.57:443#US 🇺🇸
104.17.65.142:443#US 🇺🇸
172.64.88.194:443#US 🇺🇸
