# 50 best cf ips scanned at 2026-09-20 08:20
172.64.229.125:443#JP 🇯🇵
172.64.156.204:443#SG 🇸🇬
172.64.151.116:443#SG 🇸🇬
172.64.144.235:443#SG 🇸🇬
172.64.154.231:443#SG 🇸🇬
104.18.41.36:443#SG 🇸🇬
172.64.145.67:443#SG 🇸🇬
172.64.146.140:443#SG 🇸🇬
172.64.159.149:443#SG 🇸🇬
172.64.153.61:443#SG 🇸🇬
172.64.148.226:443#SG 🇸🇬
172.64.150.215:443#SG 🇸🇬
172.64.149.76:443#SG 🇸🇬
172.64.157.185:443#SG 🇸🇬
172.64.158.123:443#SG 🇸🇬
172.64.152.133:443#SG 🇸🇬
172.64.155.132:443#SG 🇸🇬
104.18.44.20:443#SG 🇸🇬
8.39.125.177:443#SG 🇸🇬
8.35.211.103:443#SG 🇸🇬
172.64.147.189:443#SG 🇸🇬
104.16.77.222:443#US 🇺🇸
104.18.56.51:443#US 🇺🇸
104.16.14.183:443#US 🇺🇸
104.16.18.129:443#US 🇺🇸
104.18.237.221:443#US 🇺🇸
104.17.119.128:443#US 🇺🇸
104.18.195.109:443#US 🇺🇸
104.17.149.234:443#US 🇺🇸
104.16.208.241:443#US 🇺🇸
104.16.221.82:443#US 🇺🇸
104.19.189.202:443#US 🇺🇸
104.16.191.233:443#US 🇺🇸
104.17.224.218:443#US 🇺🇸
104.16.182.200:443#US 🇺🇸
104.16.211.78:443#US 🇺🇸
104.16.76.185:443#US 🇺🇸
104.16.181.163:443#US 🇺🇸
104.18.199.21:443#US 🇺🇸
104.19.109.75:443#US 🇺🇸
104.19.175.193:443#US 🇺🇸
104.19.230.47:443#US 🇺🇸
104.16.110.220:443#US 🇺🇸
104.16.5.188:443#US 🇺🇸
104.18.216.24:443#US 🇺🇸
172.64.87.248:443#US 🇺🇸
172.65.206.105:443#US 🇺🇸
104.16.40.78:443#US 🇺🇸
104.17.38.112:443#US 🇺🇸
104.17.59.19:443#US 🇺🇸
